Team_to,Season,country_name,fees
FC Schalke 04,2010-2011,Germany,25000000
Hamburger SV,2010-2011,Germany,13000000
SV Werder Bremen,2010-2011,Germany,13700000
TSG 1899 Hoffenheim,2010-2011,Germany,20200000
Borussia Dortmund,2010-2011,Germany,4750000
VfB Stuttgart,2010-2011,Germany,3900000
FC Bayern Munich,2011-2012,Germany,49000000
Bayer 04 Leverkusen,2011-2012,Germany,18500000
VfL Wolfsburg,2011-2012,Germany,27300000
Borussia Dortmund,2011-2012,Germany,11000000
SV Werder Bremen,2011-2012,Germany,5000000
VfB Stuttgart,2011-2012,Germany,4500000
Hamburger SV,2011-2012,Germany,4000000
FC Schalke 04,2011-2012,Germany,3800000
FC Bayern Munich,2012-2013,Germany,69500000
Borussia Dortmund,2012-2013,Germany,22600000
Hamburger SV,2012-2013,Germany,24500000
VfL Wolfsburg,2012-2013,Germany,19800000
Bayer 04 Leverkusen,2012-2013,Germany,16700000
TSG 1899 Hoffenheim,2012-2013,Germany,15500000
SV Werder Bremen,2012-2013,Germany,9000000
FC Schalke 04,2012-2013,Germany,4000000
FC Bayern Munich,2013-2014,Germany,62000000
Borussia Dortmund,2013-2014,Germany,50400000
VfL Wolfsburg,2013-2014,Germany,48500000
FC Schalke 04,2013-2014,Germany,18000000
Bayer 04 Leverkusen,2013-2014,Germany,15000000
1. FSV Mainz 05,2013-2014,Germany,5000000
SC Freiburg,2013-2014,Germany,4000000
VfL Wolfsburg,2014-2015,Germany,32000000
FC Bayern Munich,2014-2015,Germany,47000000
Borussia Dortmund,2014-2015,Germany,65200000
Bayer 04 Leverkusen,2014-2015,Germany,34800000
Hamburger SV,2014-2015,Germany,19000000
TSG 1899 Hoffenheim,2014-2015,Germany,11500000
SC Freiburg,2014-2015,Germany,6000000
VfB Stuttgart,2014-2015,Germany,6000000
Hannover 96,2014-2015,Germany,9300000
SV Werder Bremen,2014-2015,Germany,4500000
Hertha BSC Berlin,2014-2015,Germany,4000000
VfL Wolfsburg,2015-2016,Germany,55000000
FC Bayern Munich,2015-2016,Germany,76000000
Bayer 04 Leverkusen,2015-2016,Germany,46000000
Borussia Dortmund,2015-2016,Germany,11000000
FC Schalke 04,2015-2016,Germany,26000000
Hamburger SV,2015-2016,Germany,6500000
TSG 1899 Hoffenheim,2015-2016,Germany,6000000
FC Bayern Munich,2016-2017,Germany,70000000
Borussia Dortmund,2016-2017,Germany,117350000
FC Schalke 04,2016-2017,Germany,30500000
Bayer 04 Leverkusen,2016-2017,Germany,51500000
Hamburger SV,2016-2017,Germany,29700000
VfL Wolfsburg,2016-2017,Germany,59000000
TSG 1899 Hoffenheim,2016-2017,Germany,11000000
SV Werder Bremen,2016-2017,Germany,7500000
FC Augsburg,2016-2017,Germany,7000000
1. FSV Mainz 05,2016-2017,Germany,6500000
FC Bayern Munich,2017-2018,Germany,103500000
Borussia Dortmund,2017-2018,Germany,98340000
Bayer 04 Leverkusen,2017-2018,Germany,54000000
FC Schalke 04,2017-2018,Germany,39500000
VfL Wolfsburg,2017-2018,Germany,45000000
1. FC Köln,2017-2018,Germany,24000000
Hannover 96,2017-2018,Germany,9000000
Hertha BSC Berlin,2017-2018,Germany,8000000
TSG 1899 Hoffenheim,2017-2018,Germany,8000000
Eintracht Frankfurt,2017-2018,Germany,7000000
Borussia Dortmund,2018-2019,Germany,53000000
Bayer 04 Leverkusen,2018-2019,Germany,30500000
VfL Wolfsburg,2018-2019,Germany,31500000
SV Werder Bremen,2018-2019,Germany,18000000
FC Schalke 04,2018-2019,Germany,28000000
FC Bayern Munich,2018-2019,Germany,10000000
VfB Stuttgart,2018-2019,Germany,20000000
1. FSV Mainz 05,2018-2019,Germany,14000000
Hertha BSC Berlin,2018-2019,Germany,6500000
TSG 1899 Hoffenheim,2018-2019,Germany,17000000
Hannover 96,2018-2019,Germany,6000000
SC Freiburg,2018-2019,Germany,5000000
Eintracht Frankfurt,2018-2019,Germany,5000000
Lazio,2000-2001,Italy,56810000
Juventus,2000-2001,Italy,23240000
AS Roma,2000-2001,Italy,57200000
Inter,2000-2001,Italy,43250000
AC Milan,2000-2001,Italy,19000000
Fiorentina,2000-2001,Italy,17000000
Hellas Verona,2000-2001,Italy,4000000
Bari,2000-2001,Italy,2500000
Chievo Verona,2000-2001,Italy,2330000
Juventus,2001-2002,Italy,107080000
AC Milan,2001-2002,Italy,122500000
AS Roma,2001-2002,Italy,47500000
Parma,2001-2002,Italy,45700000
Inter,2001-2002,Italy,64190000
Brescia,2001-2002,Italy,15500000
Lecce,2001-2002,Italy,7000000
Lazio,2001-2002,Italy,5000000
Hellas Verona,2001-2002,Italy,3870000
Atalanta,2001-2002,Italy,2500000
Inter,2002-2003,Italy,63000000
AC Milan,2002-2003,Italy,64000000
Juventus,2002-2003,Italy,34740000
Parma,2002-2003,Italy,48500000
Lazio,2002-2003,Italy,11500000
Brescia,2002-2003,Italy,4550000
Udinese Calcio,2002-2003,Italy,3500000
SSC Napoli,2002-2003,Italy,950000
Inter,2003-2004,Italy,33200000
AS Roma,2003-2004,Italy,23250000
Lazio,2003-2004,Italy,14830000
AC Milan,2003-2004,Italy,10250000
Juventus,2003-2004,Italy,15000000
US Palermo,2003-2004,Italy,8700000
Chievo Verona,2003-2004,Italy,4500000
Sampdoria,2003-2004,Italy,2000000
Parma,2003-2004,Italy,1800000
Juventus,2004-2005,Italy,67900000
AS Roma,2004-2005,Italy,36200000
Fiorentina,2004-2005,Italy,47000000
Lazio,2004-2005,Italy,8000000
US Palermo,2004-2005,Italy,10400000
