Team_to,Season,fees
Shakhtar D.,2009-2010,14000000
Atlético Madrid,2009-2010,13500000
Wolverhampton Wanderers,2009-2010,7600000
SL Benfica,2009-2010,23500000
Al Sadd,2009-2010,10900000
Zenit S-Pb,2009-2010,12300000
Galatasaray,2009-2010,7000000
TSG 1899 Hoffenheim,2009-2010,16100000
Blackburn Rovers,2009-2010,11000000
Hilal,2009-2010,7000000
Stoke City,2009-2010,19950000
US Palermo,2009-2010,12000000
Fiorentina,2009-2010,23000000
West Ham United,2009-2010,14100000
Sporting CP,2009-2010,10140000
LOSC Lille,2009-2010,6500000
CSKA Moscow,2009-2010,12500000
FC Porto,2009-2010,16930000
AS Saint-Étienne,2009-2010,14700000
Loko Moscow,2009-2010,10000000
Internacional,2009-2010,6000000
Birmingham City,2009-2010,16700000
FC Twente,2009-2010,5500000
Real Zaragoza,2009-2010,9000000
Wigan Athletic,2009-2010,5100000
Fenerbahce,2009-2010,5000000
Besiktas,2009-2010,9250000
Valencia CF,2009-2010,5000000
Sampdoria,2009-2010,8500000
Bologna,2009-2010,8500000
Brescia,2009-2010,5000000
Cardiff,2009-2010,4700000
Burnley,2009-2010,4700000
Portsmouth,2009-2010,4500000
Atalanta,2009-2010,4500000
Siena,2009-2010,8000000
Cagliari Calcio,2009-2010,4500000
Celtic,2009-2010,4400000
Middlesbrough,2009-2010,4300000
América,2009-2010,4200000
Bor. M'gladbach,2009-2010,7800000
Borussia Dortmund,2009-2010,8400000
Al-Wasl,2009-2010,4100000
Getafe CF,2009-2010,4000000
Fulham,2009-2010,4000000
Spartak Moscow,2009-2010,4000000
AS Monaco,2009-2010,4000000
Catania,2009-2010,4000000
Hull City,2009-2010,7500000
PSV Eindhoven,2009-2010,4000000
FC Sochaux-Montbéliard,2009-2010,4000000
RCD Espanyol,2009-2010,4000000
Dynamo Kyiv,2009-2010,4000000
Tigres UANL,2009-2010,4000000
Standard Liège,2009-2010,4000000
QPR,2009-2010,4000000
